run_id,case,status,expected,actual,iters,mode,duration_us,details
20260601_095210,F-01,pass,enabled,enabled,100,log,99000,module=dyndbg_bench
20260601_095210,F-02,pass,enabled,enabled,100,log,114000,file=dyndbg_bench.rs
20260601_095210,F-03,pass,enabled,enabled,100,log,115000,func=bench_log
20260601_095210,F-04,pass,enabled,enabled,100,log,100000,line=196
20260601_095210,F-05,pass,disabled,disabled,100,log,0,module=dyndbg_bench;func=bench_log
20260601_095210,F-05,pass,enabled,enabled,100,log,114000,func=bench_log;module=dyndbg_bench
20260601_095210,F-06,pass,disabled,disabled,100,log,0,toggle;module=dyndbg_bench
20260601_095210,F-08,pass,enabled,enabled,100,log,98000,module=dyndbg_bench;file=dyndbg_bench.rs;func=bench_log
20260601_095210,F-07,pass,invalid-input,invalid-input,100,log,98000,invalid;inputs
20260604_023637,F-01,pass,enabled,enabled,100,log,264596,module=dyndbg_bench
20260604_023637,F-02,pass,enabled,enabled,100,log,132727,file=dyndbg_bench.rs
20260604_023637,F-03,pass,enabled,enabled,100,log,116659,func=bench_log
20260604_023637,F-04,pass,enabled,enabled,100,log,124698,line=215
20260604_023637,F-05,pass,disabled,disabled,100,log,0,module=dyndbg_bench;func=bench_log
20260604_023637,F-05,pass,enabled,enabled,100,log,139834,func=bench_log;module=dyndbg_bench
20260604_023637,F-06,pass,disabled,disabled,100,log,0,toggle;module=dyndbg_bench
20260604_023637,F-08,pass,enabled,enabled,100,log,141422,module=dyndbg_bench;file=dyndbg_bench.rs;func=bench_log
20260604_023637,F-07,pass,invalid-input,invalid-input,100,log,141422,invalid;inputs
