run_id,round,case,index_state,selector,update_iters,elapsed_s,descriptors_recomputed,modules_repatched,sites_patched,status
20260719_091413,1,I-02-full-recompute,off,"module=dyndbg_bench -p",10000,0.558411,5660000,0,0,pass
20260719_091413,2,I-02-full-recompute,off,"module=dyndbg_bench -p",10000,0.511803,5660000,0,0,pass
20260719_091413,3,I-02-full-recompute,off,"module=dyndbg_bench -p",10000,0.503215,5660000,0,0,pass
20260719_091413,4,I-02-full-recompute,off,"module=dyndbg_bench -p",10000,0.503927,5660000,0,0,pass
20260719_091413,5,I-02-full-recompute,off,"module=dyndbg_bench -p",10000,0.507825,5660000,0,0,pass
20260719_091413,6,I-02-full-recompute,off,"module=dyndbg_bench -p",10000,0.512110,5660000,0,0,pass
20260719_091413,7,I-02-full-recompute,off,"module=dyndbg_bench -p",10000,0.513622,5660000,0,0,pass
20260719_091413,8,I-02-full-recompute,off,"module=dyndbg_bench -p",10000,0.518241,5660000,0,0,pass
20260719_091413,9,I-02-full-recompute,off,"module=dyndbg_bench -p",10000,0.514215,5660000,0,0,pass
20260719_091413,10,I-02-full-recompute,off,"module=dyndbg_bench -p",10000,0.514361,5660000,0,0,pass
20260719_091413,1,I-02-index-on-line,on,"line=35 -p",10000,0.098098,40000,0,0,pass
20260719_091413,2,I-02-index-on-line,on,"line=35 -p",10000,0.098832,40000,0,0,pass
20260719_091413,3,I-02-index-on-line,on,"line=35 -p",10000,0.098738,40000,0,0,pass
20260719_091413,4,I-02-index-on-line,on,"line=35 -p",10000,0.098398,40000,0,0,pass
20260719_091413,5,I-02-index-on-line,on,"line=35 -p",10000,0.099332,40000,0,0,pass
20260719_091413,6,I-02-index-on-line,on,"line=35 -p",10000,0.098683,40000,0,0,pass
20260719_091413,7,I-02-index-on-line,on,"line=35 -p",10000,0.098011,40000,0,0,pass
20260719_091413,8,I-02-index-on-line,on,"line=35 -p",10000,0.097814,40000,0,0,pass
20260719_091413,9,I-02-index-on-line,on,"line=35 -p",10000,0.098277,40000,0,0,pass
20260719_091413,10,I-02-index-on-line,on,"line=35 -p",10000,0.097299,40000,0,0,pass
20260719_091413,1,I-02-index-off-line,off,"line=35 -p",10000,0.143517,40000,0,0,pass
20260719_091413,2,I-02-index-off-line,off,"line=35 -p",10000,0.144214,40000,0,0,pass
20260719_091413,3,I-02-index-off-line,off,"line=35 -p",10000,0.144445,40000,0,0,pass
20260719_091413,4,I-02-index-off-line,off,"line=35 -p",10000,0.144288,40000,0,0,pass
20260719_091413,5,I-02-index-off-line,off,"line=35 -p",10000,0.143072,40000,0,0,pass
20260719_091413,6,I-02-index-off-line,off,"line=35 -p",10000,0.144012,40000,0,0,pass
20260719_091413,7,I-02-index-off-line,off,"line=35 -p",10000,0.143821,40000,0,0,pass
20260719_091413,8,I-02-index-off-line,off,"line=35 -p",10000,0.143299,40000,0,0,pass
20260719_091413,9,I-02-index-off-line,off,"line=35 -p",10000,0.148652,40000,0,0,pass
20260719_091413,10,I-02-index-off-line,off,"line=35 -p",10000,0.150686,40000,0,0,pass
20260719_091413,1,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,0.443711,1280000,0,0,pass
20260719_091413,2,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,0.430617,1280000,0,0,pass
20260719_091413,3,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,0.451373,1280000,0,0,pass
20260719_091413,4,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,0.450825,1280000,0,0,pass
20260719_091413,5,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,0.452570,1280000,0,0,pass
20260719_091413,6,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,0.456073,1280000,0,0,pass
20260719_091413,7,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,0.455526,1280000,0,0,pass
20260719_091413,8,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,0.456438,1280000,0,0,pass
20260719_091413,9,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,0.455284,1280000,0,0,pass
20260719_091413,10,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,0.455378,1280000,0,0,pass
20260719_091413,1,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,0.682351,1280000,0,0,pass
20260719_091413,2,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,0.679487,1280000,0,0,pass
20260719_091413,3,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,0.682482,1280000,0,0,pass
20260719_091413,4,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,0.679960,1280000,0,0,pass
20260719_091413,5,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,0.638188,1280000,0,0,pass
20260719_091413,6,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,0.638395,1280000,0,0,pass
20260719_091413,7,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,0.636604,1280000,0,0,pass
20260719_091413,8,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,0.634997,1280000,0,0,pass
20260719_091413,9,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,0.632763,1280000,0,0,pass
20260719_091413,10,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,0.632562,1280000,0,0,pass
20260719_091413,1,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.439302,20000,0,0,pass
20260719_091413,2,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.439829,20000,0,0,pass
20260719_091413,3,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.442196,20000,0,0,pass
20260719_091413,4,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.441427,20000,0,0,pass
20260719_091413,5,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.442159,20000,0,0,pass
20260719_091413,6,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.445165,20000,0,0,pass
20260719_091413,7,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.447179,20000,0,0,pass
20260719_091413,8,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.440457,20000,0,0,pass
20260719_091413,9,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.458908,20000,0,0,pass
