run_id,case,patch_backend,patch_mode,patch_iters,expected_behavior,actual_behavior,status,elapsed_s,enable_elapsed_s,clear_elapsed_s,modules_repatched,sites_patched,patch_transactions
20260719_045225,P-02-per-site-run1,per_site,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,12.278531,4.746176,3.941322,4000,20002000,20002000
20260719_045225,P-02-batch-run1,batch,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,9.488179,3.324953,2.514089,4000,20002000,4000
20260719_045225,P-02-per-site-run2,per_site,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,12.344036,4.764085,3.962659,4000,20002000,20002000
20260719_045225,P-02-batch-run2,batch,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,9.401562,3.288667,2.491097,4000,20002000,4000
20260719_045225,P-02-per-site-run3,per_site,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,12.282742,4.739500,3.938226,4000,20002000,20002000
20260719_045225,P-02-batch-run3,batch,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,9.597413,3.350688,2.530992,4000,20002000,4000
20260719_045225,P-02-per-site-run4,per_site,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,12.311585,4.752124,3.951827,4000,20002000,20002000
20260719_045225,P-02-batch-run4,batch,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,9.374603,3.290448,2.485570,4000,20002000,4000
20260719_045225,P-02-per-site-run5,per_site,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,12.577156,4.863695,4.035282,4000,20002000,20002000
20260719_045225,P-02-batch-run5,batch,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,9.434852,3.310860,2.502353,4000,20002000,4000
20260719_045225,P-02-per-site-run6,per_site,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,12.497963,4.834986,4.011746,4000,20002000,20002000
20260719_045225,P-02-batch-run6,batch,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,9.392090,3.296676,2.493125,4000,20002000,4000
20260719_045225,P-02-per-site-run7,per_site,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,12.539856,4.851181,4.026673,4000,20002000,20002000
20260719_045225,P-02-batch-run7,batch,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,9.406983,3.302756,2.495791,4000,20002000,4000
20260719_045225,P-02-per-site-run8,per_site,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,12.675216,4.906088,4.066193,4000,20002000,20002000
20260719_045225,P-02-batch-run8,batch,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,9.195953,3.229726,2.442019,4000,20002000,4000
20260719_045225,P-02-per-site-run9,per_site,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,12.490494,4.834564,4.006452,4000,20002000,20002000
20260719_045225,P-02-batch-run9,batch,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,9.370880,3.292079,2.485876,4000,20002000,4000
20260719_045225,P-02-per-site-run10,per_site,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,12.140595,4.699186,3.896237,4000,20002000,20002000
20260719_045225,P-02-batch-run10,batch,toggle,1000,patch-transaction-completes,patch-transaction-completes,pass,9.133621,3.207445,2.425525,4000,20002000,4000
