run_id,state,mode,round,duration_us
20260711_095454,baseline,log,1,9466
20260711_095454,baseline,log,2,9350
20260711_095454,baseline,log,3,9387
20260711_095454,baseline,log,4,9460
20260711_095454,baseline,log,5,9209
20260711_095454,baseline,log,6,9230
20260711_095454,baseline,log,7,9522
20260711_095454,baseline,log,8,9385
20260711_095454,baseline,log,9,9400
20260711_095454,baseline,log,10,9224
20260711_095454,baseline,log,11,9668
20260711_095454,baseline,log,12,9226
20260711_095454,baseline,log,13,9320
20260711_095454,baseline,log,14,9636
20260711_095454,baseline,log,15,10071
20260711_095454,baseline,log,16,9856
20260711_095454,baseline,log,17,9336
20260711_095454,baseline,log,18,9291
20260711_095454,baseline,log,19,9099
20260711_095454,baseline,log,20,9394
20260711_095454,baseline,log,21,8972
20260711_095454,baseline,log,22,9507
20260711_095454,baseline,log,23,8969
20260711_095454,baseline,log,24,9344
20260711_095454,baseline,log,25,9087
20260711_095454,baseline,log,26,9333
20260711_095454,baseline,log,27,8960
20260711_095454,baseline,log,28,9343
20260711_095454,baseline,log,29,9199
20260711_095454,baseline,log,30,9477
20260711_095454,baseline,log,31,9011
20260711_095454,baseline,log,32,10556
20260711_095454,baseline,log,33,9223
20260711_095454,baseline,log,34,9421
20260711_095454,baseline,log,35,9334
20260711_095454,baseline,log,36,9368
20260711_095454,baseline,log,37,9553
20260711_095454,baseline,log,38,9392
20260711_095454,baseline,log,39,9765
20260711_095454,baseline,log,40,9500
20260711_095454,baseline,log,41,9664
20260711_095454,baseline,log,42,9306
20260711_095454,baseline,log,43,9679
20260711_095454,baseline,log,44,9298
20260711_095454,baseline,log,45,8998
20260711_095454,baseline,log,46,9399
20260711_095454,baseline,log,47,9218
20260711_095454,baseline,log,48,9214
20260711_095454,baseline,log,49,9096
20260711_095454,baseline,log,50,9593
20260711_100135,branch,log,1,9654
20260711_100135,branch,log,2,9658
20260711_100135,branch,log,3,9653
20260711_100135,branch,log,4,9529
20260711_100135,branch,log,5,9558
20260711_100135,branch,log,6,9584
20260711_100135,branch,log,7,9617
20260711_100135,branch,log,8,9613
20260711_100135,branch,log,9,9905
20260711_100135,branch,log,10,9685
20260711_100135,branch,log,11,9741
20260711_100135,branch,log,12,9740
20260711_100135,branch,log,13,9731
20260711_100135,branch,log,14,9676
20260711_100135,branch,log,15,9779
20260711_100135,branch,log,16,9819
20260711_100135,branch,log,17,9946
20260711_100135,branch,log,18,9842
20260711_100135,branch,log,19,9786
20260711_100135,branch,log,20,9836
20260711_100135,branch,log,21,9708
20260711_100135,branch,log,22,9769
20260711_100135,branch,log,23,9857
20260711_100135,branch,log,24,9714
20260711_100135,branch,log,25,9855
20260711_100135,branch,log,26,9849
20260711_100135,branch,log,27,9787
20260711_100135,branch,log,28,9810
20260711_100135,branch,log,29,10004
20260711_100135,branch,log,30,9299
20260711_100135,branch,log,31,9460
20260711_100135,branch,log,32,9108
20260711_100135,branch,log,33,9554
20260711_100135,branch,log,34,9255
20260711_100135,branch,log,35,9250
20260711_100135,branch,log,36,9603
20260711_100135,branch,log,37,9734
20260711_100135,branch,log,38,9535
20260711_100135,branch,log,39,9093
20260711_100135,branch,log,40,9387
20260711_100135,branch,log,41,9455
20260711_100135,branch,log,42,9533
20260711_100135,branch,log,43,9033
20260711_100135,branch,log,44,9451
20260711_100135,branch,log,45,9537
20260711_100135,branch,log,46,8969
20260711_100135,branch,log,47,9560
20260711_100135,branch,log,48,9580
20260711_100135,branch,log,49,9384
20260711_100135,branch,log,50,9217
20260711_100355,static,log,1,9832
20260711_100355,static,log,2,9525
20260711_100355,static,log,3,9623
20260711_100355,static,log,4,9415
20260711_100355,static,log,5,9481
20260711_100355,static,log,6,9296
20260711_100355,static,log,7,9496
20260711_100355,static,log,8,9449
20260711_100355,static,log,9,9237
20260711_100355,static,log,10,10650
20260711_100355,static,log,11,9206
20260711_100355,static,log,12,9397
20260711_100355,static,log,13,9290
20260711_100355,static,log,14,9430
20260711_100355,static,log,15,9333
20260711_100355,static,log,16,9652
20260711_100355,static,log,17,9592
20260711_100355,static,log,18,9558
20260711_100355,static,log,19,9480
20260711_100355,static,log,20,9461
20260711_100355,static,log,21,9389
20260711_100355,static,log,22,9448
20260711_100355,static,log,23,9627
20260711_100355,static,log,24,9381
20260711_100355,static,log,25,9340
20260711_100355,static,log,26,9474
20260711_100355,static,log,27,9806
20260711_100355,static,log,28,9741
20260711_100355,static,log,29,9632
20260711_100355,static,log,30,9444
20260711_100355,static,log,31,9501
20260711_100355,static,log,32,9533
20260711_100355,static,log,33,9733
20260711_100355,static,log,34,9667
20260711_100355,static,log,35,9485
20260711_100355,static,log,36,9254
20260711_100355,static,log,37,9413
20260711_100355,static,log,38,9416
20260711_100355,static,log,39,9498
20260711_100355,static,log,40,9349
20260711_100355,static,log,41,9330
20260711_100355,static,log,42,9409
20260711_100355,static,log,43,9387
20260711_100355,static,log,44,9239
20260711_100355,static,log,45,9476
20260711_100355,static,log,46,9460
20260711_100355,static,log,47,9378
20260711_100355,static,log,48,9342
20260711_100355,static,log,49,9387
20260711_100355,static,log,50,9293
