run_id,round,case,index_state,selector,update_iters,elapsed_s,descriptors_recomputed,modules_repatched,sites_patched,status
20260811_121453,1,I-02-full-recompute,off,"module=bench_m0 -p",1000,3.421583,20438000,0,0,pass
20260811_121453,2,I-02-full-recompute,off,"module=bench_m0 -p",1000,3.331533,20438000,0,0,pass
20260811_121453,3,I-02-full-recompute,off,"module=bench_m0 -p",1000,3.340385,20438000,0,0,pass
20260811_121453,4,I-02-full-recompute,off,"module=bench_m0 -p",1000,3.310390,20438000,0,0,pass
20260811_121453,5,I-02-full-recompute,off,"module=bench_m0 -p",1000,3.333662,20438000,0,0,pass
20260811_121453,6,I-02-full-recompute,off,"module=bench_m0 -p",1000,3.296989,20438000,0,0,pass
20260811_121453,7,I-02-full-recompute,off,"module=bench_m0 -p",1000,3.374828,20438000,0,0,pass
20260811_121453,8,I-02-full-recompute,off,"module=bench_m0 -p",1000,3.473940,20438000,0,0,pass
20260811_121453,9,I-02-full-recompute,off,"module=bench_m0 -p",1000,3.332996,20438000,0,0,pass
20260811_121453,10,I-02-full-recompute,off,"module=bench_m0 -p",1000,3.232308,20438000,0,0,pass
20260811_121453,1,I-02-index-on-line,on,"line=19 -p",1000,0.011001,12000,0,0,pass
20260811_121453,2,I-02-index-on-line,on,"line=19 -p",1000,0.010601,12000,0,0,pass
20260811_121453,3,I-02-index-on-line,on,"line=19 -p",1000,0.010452,12000,0,0,pass
20260811_121453,4,I-02-index-on-line,on,"line=19 -p",1000,0.010528,12000,0,0,pass
20260811_121453,5,I-02-index-on-line,on,"line=19 -p",1000,0.010472,12000,0,0,pass
20260811_121453,6,I-02-index-on-line,on,"line=19 -p",1000,0.010437,12000,0,0,pass
20260811_121453,7,I-02-index-on-line,on,"line=19 -p",1000,0.011112,12000,0,0,pass
20260811_121453,8,I-02-index-on-line,on,"line=19 -p",1000,0.010700,12000,0,0,pass
20260811_121453,9,I-02-index-on-line,on,"line=19 -p",1000,0.011212,12000,0,0,pass
20260811_121453,10,I-02-index-on-line,on,"line=19 -p",1000,0.010617,12000,0,0,pass
20260811_121453,1,I-02-index-off-line,off,"line=19 -p",1000,1.265121,12000,0,0,pass
20260811_121453,2,I-02-index-off-line,off,"line=19 -p",1000,1.313382,12000,0,0,pass
20260811_121453,3,I-02-index-off-line,off,"line=19 -p",1000,1.285565,12000,0,0,pass
20260811_121453,4,I-02-index-off-line,off,"line=19 -p",1000,1.300564,12000,0,0,pass
20260811_121453,5,I-02-index-off-line,off,"line=19 -p",1000,1.253209,12000,0,0,pass
20260811_121453,6,I-02-index-off-line,off,"line=19 -p",1000,1.246399,12000,0,0,pass
20260811_121453,7,I-02-index-off-line,off,"line=19 -p",1000,1.243100,12000,0,0,pass
20260811_121453,8,I-02-index-off-line,off,"line=19 -p",1000,1.244416,12000,0,0,pass
20260811_121453,9,I-02-index-off-line,off,"line=19 -p",1000,1.277385,12000,0,0,pass
20260811_121453,10,I-02-index-off-line,off,"line=19 -p",1000,1.270771,12000,0,0,pass
20260811_121453,1,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,2.569206,20000000,0,0,pass
20260811_121453,2,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,2.625889,20000000,0,0,pass
20260811_121453,3,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,2.536872,20000000,0,0,pass
20260811_121453,4,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,2.641281,20000000,0,0,pass
20260811_121453,5,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,2.514495,20000000,0,0,pass
20260811_121453,6,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,2.550636,20000000,0,0,pass
20260811_121453,7,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,2.608582,20000000,0,0,pass
20260811_121453,8,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,2.493744,20000000,0,0,pass
20260811_121453,9,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,2.565880,20000000,0,0,pass
20260811_121453,10,I-02-index-on-file,on,"file=bench_sites.rs -p",1000,2.616897,20000000,0,0,pass
20260811_121453,1,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,8.848236,20000000,0,0,pass
20260811_121453,2,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,8.704522,20000000,0,0,pass
20260811_121453,3,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,8.661904,20000000,0,0,pass
20260811_121453,4,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,8.617119,20000000,0,0,pass
20260811_121453,5,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,8.642060,20000000,0,0,pass
20260811_121453,6,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,8.485473,20000000,0,0,pass
20260811_121453,7,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,8.608963,20000000,0,0,pass
20260811_121453,8,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,8.511795,20000000,0,0,pass
20260811_121453,9,I-02-index-off-file,off,"file=bench_sites.rs -p",1000,8.656814,20000000,0,0,pass
