N,case,index_state,selector,update_iters,elapsed_s,descriptors_recomputed,modules_repatched,sites_patched,status
283,I-02-index-on-file,on,"file=dyndbg_bench.rs -p",10000,0.305557,20000,0,0,pass
283,I-02-index-off-file,off,"file=dyndbg_bench.rs -p",10000,0.479919,20000,0,0,pass
283,I-02-index-on-func,on,"func=bench_log_0 -p",10000,0.447220,20000,0,0,pass
283,I-02-index-off-func,off,"func=bench_log_0 -p",10000,0.532623,20000,0,0,pass
283,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,0.438935,1300000,0,0,pass
283,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,0.523910,1300000,0,0,pass
500,I-02-index-on-line,on,"line=32 -p",10000,0.098477,80000,0,0,pass
500,I-02-index-off-line,off,"line=32 -p",10000,0.251159,80000,0,0,pass
500,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,1.837223,10000000,0,0,pass
500,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,2.753734,10000000,0,0,pass
500,I-02-index-on-func,on,"func=bench_log_0 -p",10000,1.116260,20000,0,0,pass
500,I-02-index-off-func,off,"func=bench_log_0 -p",10000,1.274313,20000,0,0,pass
500,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,1.564896,10020000,0,0,pass
500,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,1.89352416,10020000,0,0,pass
1000,I-02-index-on-line,on,"line=32 -p",10000,0.098489,80000,0,0,pass
1000,I-02-index-off-line,off,"line=32 -p",10000,0.381850,80000,0,0,pass
1000,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,3.373179,20000000,0,0,pass
1000,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,5.144953,20000000,0,0,pass
1000,I-02-index-on-func,on,"func=bench_log_0 -p",10000,1.776148,20000,0,0,pass
1000,I-02-index-off-func,off,"func=bench_log_0 -p",10000,2.077329,20000,0,0,pass
1000,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,4.046692,20020000,0,0,pass
1000,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,4.715658,20020000,0,0,pass
2000,I-02-index-on-line,on,"line=32 -p",10000,0.097935,80000,0,0,pass
2000,I-02-index-off-line,off,"line=32 -p",10000,0.643133,80000,0,0,pass
2000,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,6.612423,40000000,0,0,pass
2000,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,9.956482,40000000,0,0,pass
2000,I-02-index-on-func,on,"func=bench_log_0 -p",10000,3.022314,20000,0,0,pass
2000,I-02-index-off-func,off,"func=bench_log_0 -p",10000,3.660400,20000,0,0,pass
2000,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,7.896363,40020000,0,0,pass
2000,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,9.161510,40020000,0,0,pass
5000,I-02-index-on-line,on,"line=32 -p",10000,0.102532,80000,0,0,pass
5000,I-02-index-off-line,off,"line=32 -p",10000,1.585469,80000,0,0,pass
5000,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,16.462444,100000000,0,0,pass
5000,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,25.931286,100000000,0,0,pass
5000,I-02-index-on-func,on,"func=bench_log_0 -p",10000,7.304016,20000,0,0,pass
5000,I-02-index-off-func,off,"func=bench_log_0 -p",10000,8.804993,20000,0,0,pass
5000,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,19.845429,100020000,0,0,pass
5000,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,22.802848,100020000,0,0,pass
10000,I-02-index-on-line,on,"line=32 -p",10000,0.100343,80000,0,0,pass
10000,I-02-index-off-line,off,"line=32 -p",10000,2.887016,80000,0,0,pass
10000,I-02-index-on-file,on,"file=bench_sites.rs -p",10000,34.005394,200000000,0,0,pass
10000,I-02-index-off-file,off,"file=bench_sites.rs -p",10000,52.848572,200000000,0,0,pass
10000,I-02-index-on-func,on,"func=bench_log_0 -p",10000,14.308640,20000,0,0,pass
10000,I-02-index-off-func,off,"func=bench_log_0 -p",10000,17.235291,20000,0,0,pass
10000,I-02-index-on-module,on,"module=dyndbg_bench -p",10000,40.560196,200020000,0,0,pass
10000,I-02-index-off-module,off,"module=dyndbg_bench -p",10000,46.776016,200020000,0,0,pass
