run_id,workload,workload_mode,round,duration_us
20260714_105416,create_delete,baseline,1,556748
20260714_105416,create_delete,baseline,2,554019
20260714_105416,create_delete,baseline,3,567953
20260714_105416,create_delete,baseline,4,551150
20260714_105416,create_delete,baseline,5,574344
20260714_105416,create_delete,baseline,6,558814
20260714_105416,create_delete,baseline,7,582572
20260714_105416,create_delete,baseline,8,587236
20260714_105416,create_delete,baseline,9,581363
20260714_105416,create_delete,baseline,10,559990
20260714_105416,create_delete,baseline,11,552044
20260714_105416,create_delete,baseline,12,551685
20260714_105416,create_delete,baseline,13,551665
20260714_105416,create_delete,baseline,14,551473
20260714_105416,create_delete,baseline,15,552499
20260714_105416,create_delete,baseline,16,550878
20260714_105416,create_delete,baseline,17,557008
20260714_105416,create_delete,baseline,18,577887
20260714_105416,create_delete,baseline,19,578273
20260714_105416,create_delete,baseline,20,579926
20260714_105416,rename,baseline,1,1614177
20260714_105416,rename,baseline,2,1617017
20260714_105416,rename,baseline,3,1591879
20260714_105416,rename,baseline,4,1615420
20260714_105416,rename,baseline,5,1675870
20260714_105416,rename,baseline,6,1607904
20260714_105416,rename,baseline,7,1598495
20260714_105416,rename,baseline,8,1601588
20260714_105416,rename,baseline,9,1594224
20260714_105416,rename,baseline,10,1604019
20260714_105416,rename,baseline,11,1704199
20260714_105416,rename,baseline,12,1690240
20260714_105416,rename,baseline,13,1657473
20260714_105416,rename,baseline,14,1672071
20260714_105416,rename,baseline,15,1674460
20260714_105416,rename,baseline,16,1648006
20260714_105416,rename,baseline,17,1602064
20260714_105416,rename,baseline,18,1654602
20260714_105416,rename,baseline,19,1637166
20260714_105416,rename,baseline,20,1590825
20260714_105416,mkdir_rmdir,baseline,1,1130561
20260714_105416,mkdir_rmdir,baseline,2,1113860
20260714_105416,mkdir_rmdir,baseline,3,1116906
20260714_105416,mkdir_rmdir,baseline,4,1062927
20260714_105416,mkdir_rmdir,baseline,5,1096447
20260714_105416,mkdir_rmdir,baseline,6,1067288
20260714_105416,mkdir_rmdir,baseline,7,1058232
20260714_105416,mkdir_rmdir,baseline,8,1082511
20260714_105416,mkdir_rmdir,baseline,9,1071314
20260714_105416,mkdir_rmdir,baseline,10,1059618
20260714_105416,mkdir_rmdir,baseline,11,1054388
20260714_105416,mkdir_rmdir,baseline,12,1052787
20260714_105416,mkdir_rmdir,baseline,13,1065668
20260714_105416,mkdir_rmdir,baseline,14,1058880
20260714_105416,mkdir_rmdir,baseline,15,1092873
20260714_105416,mkdir_rmdir,baseline,16,1074408
20260714_105416,mkdir_rmdir,baseline,17,1125624
20260714_105416,mkdir_rmdir,baseline,18,1109803
20260714_105416,mkdir_rmdir,baseline,19,1148059
20260714_105416,mkdir_rmdir,baseline,20,1149721
20260714_105416,pipe_comm,baseline,1,356006
20260714_105416,pipe_comm,baseline,2,356546
20260714_105416,pipe_comm,baseline,3,358073
20260714_105416,pipe_comm,baseline,4,360543
20260714_105416,pipe_comm,baseline,5,359625
20260714_105416,pipe_comm,baseline,6,350682
20260714_105416,pipe_comm,baseline,7,335015
20260714_105416,pipe_comm,baseline,8,335249
20260714_105416,pipe_comm,baseline,9,337246
20260714_105416,pipe_comm,baseline,10,337074
20260714_105416,pipe_comm,baseline,11,334284
20260714_105416,pipe_comm,baseline,12,332786
20260714_105416,pipe_comm,baseline,13,342158
20260714_105416,pipe_comm,baseline,14,344713
20260714_105416,pipe_comm,baseline,15,344340
20260714_105416,pipe_comm,baseline,16,348769
20260714_105416,pipe_comm,baseline,17,352130
20260714_105416,pipe_comm,baseline,18,352993
20260714_105416,pipe_comm,baseline,19,354880
20260714_105416,pipe_comm,baseline,20,354484
20260714_105416,fork_wait,baseline,1,189015
20260714_105416,fork_wait,baseline,2,192235
20260714_105416,fork_wait,baseline,3,188861
20260714_105416,fork_wait,baseline,4,188504
20260714_105416,fork_wait,baseline,5,185619
20260714_105416,fork_wait,baseline,6,183362
20260714_105416,fork_wait,baseline,7,186404
20260714_105416,fork_wait,baseline,8,184187
20260714_105416,fork_wait,baseline,9,183332
20260714_105416,fork_wait,baseline,10,185316
20260714_105416,fork_wait,baseline,11,176852
20260714_105416,fork_wait,baseline,12,179123
20260714_105416,fork_wait,baseline,13,183015
20260714_105416,fork_wait,baseline,14,182777
20260714_105416,fork_wait,baseline,15,183069
20260714_105416,fork_wait,baseline,16,187821
20260714_105416,fork_wait,baseline,17,186121
20260714_105416,fork_wait,baseline,18,184450
20260714_105416,fork_wait,baseline,19,187891
20260714_105416,fork_wait,baseline,20,189284
20260714_105416,fd_dup_close,baseline,1,174038
20260714_105416,fd_dup_close,baseline,2,174745
20260714_105416,fd_dup_close,baseline,3,173159
20260714_105416,fd_dup_close,baseline,4,171847
20260714_105416,fd_dup_close,baseline,5,175242
20260714_105416,fd_dup_close,baseline,6,176440
20260714_105416,fd_dup_close,baseline,7,175963
20260714_105416,fd_dup_close,baseline,8,183252
20260714_105416,fd_dup_close,baseline,9,176461
20260714_105416,fd_dup_close,baseline,10,174054
20260714_105416,fd_dup_close,baseline,11,174817
20260714_105416,fd_dup_close,baseline,12,175612
20260714_105416,fd_dup_close,baseline,13,176015
20260714_105416,fd_dup_close,baseline,14,176811
20260714_105416,fd_dup_close,baseline,15,175083
20260714_105416,fd_dup_close,baseline,16,174746
20260714_105416,fd_dup_close,baseline,17,174205
20260714_105416,fd_dup_close,baseline,18,177298
20260714_105416,fd_dup_close,baseline,19,178025
20260714_105416,fd_dup_close,baseline,20,186195
20260714_105754,create_delete,branch,1,571208
20260714_105754,create_delete,branch,2,574876
20260714_105754,create_delete,branch,3,570448
20260714_105754,create_delete,branch,4,573531
20260714_105754,create_delete,branch,5,579960
20260714_105754,create_delete,branch,6,585697
20260714_105754,create_delete,branch,7,582010
20260714_105754,create_delete,branch,8,583797
20260714_105754,create_delete,branch,9,581846
20260714_105754,create_delete,branch,10,578475
20260714_105754,create_delete,branch,11,581283
20260714_105754,create_delete,branch,12,572922
20260714_105754,create_delete,branch,13,548386
20260714_105754,create_delete,branch,14,565543
20260714_105754,create_delete,branch,15,573279
20260714_105754,create_delete,branch,16,581734
20260714_105754,create_delete,branch,17,564630
20260714_105754,create_delete,branch,18,553447
20260714_105754,create_delete,branch,19,570342
20260714_105754,create_delete,branch,20,573299
20260714_105754,rename,branch,1,1673593
20260714_105754,rename,branch,2,1625480
20260714_105754,rename,branch,3,1578111
20260714_105754,rename,branch,4,1616195
20260714_105754,rename,branch,5,1688690
20260714_105754,rename,branch,6,1686142
20260714_105754,rename,branch,7,1675921
20260714_105754,rename,branch,8,1646578
20260714_105754,rename,branch,9,1662163
20260714_105754,rename,branch,10,1659145
20260714_105754,rename,branch,11,1688562
20260714_105754,rename,branch,12,1638340
20260714_105754,rename,branch,13,1666364
20260714_105754,rename,branch,14,1686075
20260714_105754,rename,branch,15,1687329
20260714_105754,rename,branch,16,1633176
20260714_105754,rename,branch,17,1665628
20260714_105754,rename,branch,18,1689926
20260714_105754,rename,branch,19,1661489
20260714_105754,rename,branch,20,1656040
20260714_105754,mkdir_rmdir,branch,1,1064385
20260714_105754,mkdir_rmdir,branch,2,1100795
20260714_105754,mkdir_rmdir,branch,3,1097543
20260714_105754,mkdir_rmdir,branch,4,1109062
20260714_105754,mkdir_rmdir,branch,5,1106146
20260714_105754,mkdir_rmdir,branch,6,1126156
20260714_105754,mkdir_rmdir,branch,7,1108746
20260714_105754,mkdir_rmdir,branch,8,1049400
20260714_105754,mkdir_rmdir,branch,9,1082097
20260714_105754,mkdir_rmdir,branch,10,1086208
20260714_105754,mkdir_rmdir,branch,11,1111359
20260714_105754,mkdir_rmdir,branch,12,1112798
20260714_105754,mkdir_rmdir,branch,13,1114429
20260714_105754,mkdir_rmdir,branch,14,1118416
20260714_105754,mkdir_rmdir,branch,15,1102309
20260714_105754,mkdir_rmdir,branch,16,1123247
20260714_105754,mkdir_rmdir,branch,17,1083791
20260714_105754,mkdir_rmdir,branch,18,1066571
20260714_105754,mkdir_rmdir,branch,19,1085323
20260714_105754,mkdir_rmdir,branch,20,1092689
20260714_105754,pipe_comm,branch,1,359901
20260714_105754,pipe_comm,branch,2,364038
20260714_105754,pipe_comm,branch,3,365510
20260714_105754,pipe_comm,branch,4,363052
20260714_105754,pipe_comm,branch,5,363170
20260714_105754,pipe_comm,branch,6,362097
20260714_105754,pipe_comm,branch,7,362506
20260714_105754,pipe_comm,branch,8,347732
20260714_105754,pipe_comm,branch,9,349624
20260714_105754,pipe_comm,branch,10,352249
20260714_105754,pipe_comm,branch,11,365003
20260714_105754,pipe_comm,branch,12,362024
20260714_105754,pipe_comm,branch,13,364466
20260714_105754,pipe_comm,branch,14,361437
20260714_105754,pipe_comm,branch,15,361008
20260714_105754,pipe_comm,branch,16,365574
20260714_105754,pipe_comm,branch,17,369164
20260714_105754,pipe_comm,branch,18,367514
20260714_105754,pipe_comm,branch,19,367830
